ticker,shares,purchase_date,notes
MSFT,0.8528089999999999,2025-09-01,
VIG,1.485217,2025-09-01,
GOOG,1.393892,2025-09-01,
NVDA,2.228371,2025-09-01,
V,0.27330899999999997,2025-09-01,
COST,0.623091,2025-09-01,
AXP,0.017152999999999998,2025-09-01,
SPYM,10.802359,2025-09-01,
MS,1.825156,2025-09-01,
RKLB,100.0,2025-09-01,
GS,0.36095,2025-09-01,
